Run Fondo;serie;fecha;periodo;rent_acumulada
9291;APV;2023-04-12;1M;0.0074
9291;APV;2023-04-12;3M;0.0222
9291;APV;2023-04-12;6M;0.0547
9291;APV;2023-04-12;1Y;0.1012
9291;APV;2023-04-12;YTD;0.0294
9291;APV;2023-04-13;1M;0.0064
9291;APV;2023-04-13;3M;0.0221
9291;APV;2023-04-13;6M;0.0540
9291;APV;2023-04-13;1Y;0.0983
9291;APV;2023-04-13;YTD;0.0292
9291;APV;2023-04-14;1M;0.0063
9291;APV;2023-04-14;3M;0.0218
9291;APV;2023-04-14;6M;0.0538
9291;APV;2023-04-14;1Y;0.0964
9291;APV;2023-04-14;YTD;0.0291
9291;APV;2023-04-15;1M;0.0065
9291;APV;2023-04-15;3M;0.0220
9291;APV;2023-04-15;6M;0.0539
9291;APV;2023-04-15;1Y;0.0963
9291;APV;2023-04-15;YTD;0.0295
9291;APV;2023-04-16;1M;0.0071
9291;APV;2023-04-16;3M;0.0216
9291;APV;2023-04-16;6M;0.0540
9291;APV;2023-04-16;1Y;0.0962
9291;APV;2023-04-16;YTD;0.0299
9291;APV;2023-04-17;1M;0.0069
9291;APV;2023-04-17;3M;0.0213
9291;APV;2023-04-17;6M;0.0534
9291;APV;2023-04-17;1Y;0.0956
9291;APV;2023-04-17;YTD;0.0299
9291;APV;2023-04-18;1M;0.0068
9291;APV;2023-04-18;3M;0.0214
9291;APV;2023-04-18;6M;0.0527
9291;APV;2023-04-18;1Y;0.0950
9291;APV;2023-04-18;YTD;0.0299
9291;APV;2023-04-19;1M;0.0067
9291;APV;2023-04-19;3M;0.0210
9291;APV;2023-04-19;6M;0.0522
9291;APV;2023-04-19;1Y;0.0941
9291;APV;2023-04-19;YTD;0.0299
9291;APV;2023-04-20;1M;0.0061
9291;APV;2023-04-20;3M;0.0207
9291;APV;2023-04-20;6M;0.0516
9291;APV;2023-04-20;1Y;0.0936
9291;APV;2023-04-20;YTD;0.0299
9291;APV;2023-04-21;1M;0.0062
9291;APV;2023-04-21;3M;0.0207
9291;APV;2023-04-21;6M;0.0506
9291;APV;2023-04-21;1Y;0.0937
9291;APV;2023-04-21;YTD;0.0301
9291;APV;2023-04-22;1M;0.0065
9291;APV;2023-04-22;3M;0.0209
9291;APV;2023-04-22;6M;0.0507
9291;APV;2023-04-22;1Y;0.0936
9291;APV;2023-04-22;YTD;0.0305
9291;APV;2023-04-23;1M;0.0062
9291;APV;2023-04-23;3M;0.0208
9291;APV;2023-04-23;6M;0.0508
9291;APV;2023-04-23;1Y;0.0934
9291;APV;2023-04-23;YTD;0.0310
9291;APV;2023-04-24;1M;0.0055
9291;APV;2023-04-24;3M;0.0205
9291;APV;2023-04-24;6M;0.0498
9291;APV;2023-04-24;1Y;0.0925
9291;APV;2023-04-24;YTD;0.0305
9291;APV;2023-04-25;1M;0.0058
9291;APV;2023-04-25;3M;0.0206
9291;APV;2023-04-25;6M;0.0498
9291;APV;2023-04-25;1Y;0.0919
9291;APV;2023-04-25;YTD;0.0310
9291;APV;2023-04-26;1M;0.0059
9291;APV;2023-04-26;3M;0.0206
9291;APV;2023-04-26;6M;0.0501
9291;APV;2023-04-26;1Y;0.0925
9291;APV;2023-04-26;YTD;0.0312
9291;APV;2023-04-27;1M;0.0058
9291;APV;2023-04-27;3M;0.0204
9291;APV;2023-04-27;6M;0.0498
9291;APV;2023-04-27;1Y;0.0925
9291;APV;2023-04-27;YTD;0.0313
9291;APV;2023-04-28;1M;0.0049
9291;APV;2023-04-28;3M;0.0204
9291;APV;2023-04-28;6M;0.0498
9291;APV;2023-04-28;1Y;0.0928
9291;APV;2023-04-28;YTD;0.0315
9291;APV;2023-04-29;1M;0.0053
9291;APV;2023-04-29;3M;0.0206
9291;APV;2023-04-29;6M;0.0499
9291;APV;2023-04-29;1Y;0.0932
9291;APV;2023-04-29;YTD;0.0319
9291;APV;2023-04-30;1M;0.0048
9291;APV;2023-04-30;3M;0.0204
9291;APV;2023-04-30;6M;0.0500
9291;APV;2023-04-30;1Y;0.0931
9291;APV;2023-04-30;YTD;0.0323
9291;APV;2023-05-01;1M;0.0054
9291;APV;2023-05-01;3M;0.0207
9291;APV;2023-05-01;6M;0.0498
9291;APV;2023-05-01;1Y;0.0930
9291;APV;2023-05-01;YTD;0.0327
9291;APV;2023-05-02;1M;0.0049
9291;APV;2023-05-02;3M;0.0200
9291;APV;2023-05-02;6M;0.0488
9291;APV;2023-05-02;1Y;0.0942
9291;APV;2023-05-02;YTD;0.0323
9291;APV;2023-05-03;1M;0.0042
9291;APV;2023-05-03;3M;0.0201
9291;APV;2023-05-03;6M;0.0486
9291;APV;2023-05-03;1Y;0.0942
9291;APV;2023-05-03;YTD;0.0324
9291;APV;2023-05-04;1M;0.0037
9291;APV;2023-05-04;3M;0.0196
9291;APV;2023-05-04;6M;0.0477
9291;APV;2023-05-04;1Y;0.0943
9291;APV;2023-05-04;YTD;0.0321
9291;APV;2023-05-05;1M;0.0040
9291;APV;2023-05-05;3M;0.0195
9291;APV;2023-05-05;6M;0.0475
9291;APV;2023-05-05;1Y;0.0962
9291;APV;2023-05-05;YTD;0.0322
9291;APV;2023-05-06;1M;0.0034
9291;APV;2023-05-06;3M;0.0198
9291;APV;2023-05-06;6M;0.0476
9291;APV;2023-05-06;1Y;0.0958
9291;APV;2023-05-06;YTD;0.0326
9291;APV;2023-05-07;1M;0.0037
9291;APV;2023-05-07;3M;0.0200
9291;APV;2023-05-07;6M;0.0474
9291;APV;2023-05-07;1Y;0.0956
9291;APV;2023-05-07;YTD;0.0330
9291;APV;2023-05-08;1M;0.0033
9291;APV;2023-05-08;3M;0.0179
9291;APV;2023-05-08;6M;0.0482
9291;APV;2023-05-08;1Y;0.0948
9291;APV;2023-05-08;YTD;0.0327
9291;APV;2023-05-09;1M;0.0031
9291;APV;2023-05-09;3M;0.0177
